Date (UTC),Timestamp (UTC),Democratic,Donald Trump,Other,state
04-04-2024 00:00,1712188803,0.915,0.085,0.0075,OR
04-11-2024 00:00,1712793603,0.915,0.075,0.0105,OR
04-18-2024 00:00,1713398403,0.915,0.075,0.0105,OR
04-25-2024 00:00,1714003203,0.905,0.075,0.011,OR
05-02-2024 00:00,1714608003,0.905,0.075,0.0115,OR
05-09-2024 00:00,1715212803,0.915,0.065,0.0115,OR
05-16-2024 00:00,1715817604,0.915,0.065,0.0115,OR
05-23-2024 00:00,1716422403,0.925,0.065,0.0105,OR
05-30-2024 00:00,1717027203,0.925,0.065,0.0105,OR
06-06-2024 00:00,1717632003,0.925,0.065,0.0105,OR
06-13-2024 00:00,1718236803,0.925,0.065,0.0105,OR
06-20-2024 00:00,1718841604,0.925,0.065,0.0105,OR
06-27-2024 00:00,1719446402,0.925,0.065,0.0105,OR
07-04-2024 00:00,1720051203,0.915,0.065,0.0085,OR
07-11-2024 00:00,1720656003,0.915,0.075,0.0085,OR
07-18-2024 00:00,1721260802,0.905,0.095,0.0085,OR
07-25-2024 00:00,1721865601,0.915,0.065,0.0085,OR
08-01-2024 00:00,1722470402,0.915,0.07,0.009,OR
08-08-2024 00:00,1723075201,0.95,0.035,0.006,OR
08-15-2024 00:00,1723680002,0.9645,0.032,0.0085,OR
08-22-2024 00:00,1724284802,0.9595,0.0385,0.0035,OR
08-29-2024 00:00,1724889602,0.9625,0.0375,0.003,OR
09-05-2024 00:00,1725494402,0.9625,0.037,0.0025,OR
09-12-2024 00:00,1726099202,0.9665,0.0315,0.003,OR
09-19-2024 00:00,1726704001,0.9675,0.029,0.003,OR
09-26-2024 00:00,1727308802,0.9685,0.0295,0.003,OR
10-03-2024 00:00,1727913602,0.9685,0.0295,0.0035,OR
10-10-2024 00:00,1728518402,0.967,0.028,0.0025,OR
10-17-2024 00:00,1729123202,0.956,0.0315,0.0015,OR
10-24-2024 00:00,1729728003,0.9645,0.0355,0.0015,OR
10-31-2024 00:00,1730332803,0.9665,0.0315,0.003,OR
11-04-2024 06:19,1730701142,0.9775,0.022,0.003,OR
04-04-2024 00:00,1712188803,0.085,0.915,0.006,IN
04-11-2024 00:00,1712793603,0.075,0.915,0.012,IN
04-18-2024 00:00,1713398403,0.075,0.905,0.012,IN
04-25-2024 00:00,1714003203,0.075,0.905,0.012,IN
05-02-2024 00:00,1714608003,0.075,0.905,0.013,IN
05-09-2024 00:00,1715212803,0.065,0.915,0.011,IN
05-16-2024 00:00,1715817604,0.065,0.915,0.0115,IN
05-23-2024 00:00,1716422403,0.065,0.925,0.0135,IN
05-30-2024 00:00,1717027203,0.065,0.925,0.0135,IN
06-06-2024 00:00,1717632003,0.065,0.925,0.0135,IN
06-13-2024 00:00,1718236803,0.065,0.925,0.0135,IN
06-20-2024 00:00,1718841604,0.065,0.925,0.0165,IN
06-27-2024 00:00,1719446402,0.065,0.925,0.0165,IN
07-04-2024 00:00,1720051203,0.0345,0.945,0.008,IN
07-11-2024 00:00,1720656003,0.0345,0.945,0.008,IN
07-18-2024 00:00,1721260802,0.035,0.945,0.008,IN
07-25-2024 00:00,1721865601,0.0355,0.945,0.008,IN
08-01-2024 00:00,1722470402,0.0355,0.945,0.0085,IN
08-08-2024 00:00,1723075201,0.04,0.955,0.008,IN
08-15-2024 00:00,1723680002,0.034,0.9655,0.0045,IN
08-22-2024 00:00,1724284802,0.0295,0.967,0.0035,IN
08-29-2024 00:00,1724889602,0.031,0.969,0.0025,IN
09-05-2024 00:00,1725494402,0.0285,0.971,0.0015,IN
09-12-2024 00:00,1726099202,0.0265,0.9725,0.003,IN
09-19-2024 00:00,1726704001,0.025,0.973,0.0035,IN
09-26-2024 00:00,1727308802,0.024,0.974,0.004,IN
10-03-2024 00:00,1727913602,0.025,0.976,0.0025,IN
10-10-2024 00:00,1728518402,0.019,0.9775,0.0025,IN
